id,joint,life1_id,life1_sex,life1_risk,life1_smoke,life1_birthday,life2_id,life2_sex,life2_risk,life2_smoke,life2_birthday,face,issue_date
1,false,2415,M,Standard,false,1948-09-16,,,,,,4.25e6,1999-12-03
2,false,602,F,Preferred,true,1960-12-18,,,,,,3.8e6,2005-11-15
3,false,2197,M,Standard,true,1969-12-04,,,,,,1.9e6,2019-11-23
4,false,3507,M,Preferred,true,1957-09-20,,,,,,3.1e6,2005-06-28
5,true,1003,M,Preferred,false,1979-04-11,1004,F,Standard,false,1971-09-07,4.9e6,2023-01-03
6,false,2001,M,Preferred,false,1967-02-19,,,,,,100000.0,2022-08-21
7,true,1415,M,Standard,true,1987-07-22,1416,F,Standard,true,1982-11-26,3.25e6,2032-04-24
8,false,1514,F,Preferred,true,1998-02-22,,,,,,2.6e6,2046-11-13
9,false,573,M,Standard,true,1999-12-26,,,,,,4.0e6,2052-07-03
10,false,852,F,Standard,false,1969-03-13,,,,,,4.6e6,1998-01-25
11,false,3693,M,Preferred,true,1921-03-09,,,,,,3.75e6,1976-08-06
12,false,2843,M,Standard,true,1987-03-23,,,,,,2.2e6,2038-08-19
13,false,2254,F,Standard,false,1951-05-04,,,,,,850000.0,2008-06-17
14,false,1122,F,Preferred,false,1969-04-21,,,,,,3.3e6,2025-09-16
15,false,278,F,Preferred,true,1943-09-04,,,,,,2.85e6,1968-09-07
16,false,3357,M,Preferred,true,1981-01-01,,,,,,1.15e6,2037-07-26
17,false,3558,F,Preferred,false,1935-12-26,,,,,,4.75e6,1982-06-25
18,false,1250,F,Standard,false,1940-05-05,,,,,,4.1e6,1989-09-10
19,true,1154,F,Standard,false,1926-01-16,1153,M,Preferred,true,1927-12-22,2.55e6,1982-05-25
20,true,14,F,Standard,true,1974-10-22,13,M,Preferred,false,1976-08-03,300000.0,2009-08-12
21,false,760,F,Standard,false,1985-09-14,,,,,,3.8e6,2025-11-08
22,false,981,M,Standard,false,1928-10-09,,,,,,1.65e6,1979-02-13
23,false,3622,F,Standard,true,1927-08-14,,,,,,1.75e6,1969-06-11
24,true,1534,F,Standard,false,1927-07-19,1533,M,Preferred,true,1923-06-28,950000.0,1969-11-11
25,true,3415,M,Preferred,false,1962-12-31,3416,F,Standard,true,1955-08-23,2.75e6,1995-01-06
